node_id,x_coord,y_coord,meso_link_id,lane_no,activity_type,is_boundary
12109,-122.34025,47.6513,1252,1,,0
12110,-122.34025,47.65124,1252,1,,0
12111,-122.34026,47.65117,1252,1,,0
12112,-122.34026,47.65111,1252,1,,0
12113,-122.34026,47.65105,1252,1,,0
12114,-122.34026,47.65098,1252,1,,0
12115,-122.34026,47.65092,1252,1,,0
12116,-122.34026,47.65086,1252,1,,0
12117,-122.34026,47.65079,1252,1,,0
12118,-122.34026,47.65073,1252,1,,0
12119,-122.34026,47.65067,1252,1,,0
12120,-122.34026,47.65061,1252,1,,0
12121,-122.34026,47.65057,1252,1,,0
12122,-122.34014,47.65276,1253,1,residential,0
12123,-122.34014,47.65283,1253,1,,0
12124,-122.34014,47.65289,1253,1,,0
12125,-122.34014,47.65295,1253,1,,0
12126,-122.34014,47.65302,1253,1,,0
12127,-122.34014,47.65308,1253,1,,0
12128,-122.34013,47.65314,1253,1,,0
12129,-122.34013,47.65321,1253,1,,0
12130,-122.34013,47.65327,1253,1,,0
12131,-122.34013,47.65333,1253,1,,0
12132,-122.34013,47.65339,1253,1,,0
12133,-122.34013,47.65346,1253,1,,0
12134,-122.34013,47.65352,1253,1,,0
12135,-122.34013,47.65358,1253,1,,0
12136,-122.34012,47.65365,1253,1,,0
12137,-122.34012,47.65371,1253,1,,0
12138,-122.34012,47.65377,1253,1,,0
12139,-122.34012,47.65384,1253,1,,0
12140,-122.34012,47.6539,1253,1,,0
12141,-122.34012,47.65396,1253,1,,0
12142,-122.34012,47.65402,1253,1,,0
12145,-122.34011,47.65416,1253,1,,0
12146,-122.34011,47.65423,1253,1,,0
12147,-122.34012,47.6541,1253,1,,0
12148,-122.3402,47.65424,1254,1,residential,0
12149,-122.3402,47.65417,1254,1,,0
12152,-122.34021,47.65404,1254,1,,0
12153,-122.34021,47.65397,1254,1,,0
12154,-122.34021,47.65391,1254,1,,0
12155,-122.34021,47.65385,1254,1,,0
12156,-122.34021,47.65378,1254,1,,0
12157,-122.34022,47.65372,1254,1,,0
12158,-122.34022,47.65366,1254,1,,0
12159,-122.34022,47.6536,1254,1,,0
12160,-122.34022,47.65353,1254,1,,0
12161,-122.34022,47.65347,1254,1,,0
12162,-122.34022,47.65341,1254,1,,0
12163,-122.34022,47.65334,1254,1,,0
12164,-122.34023,47.65328,1254,1,,0
12165,-122.34023,47.65322,1254,1,,0
12166,-122.34023,47.65315,1254,1,,0
12167,-122.34023,47.65309,1254,1,,0
12168,-122.34023,47.65303,1254,1,,0
12169,-122.34023,47.65297,1254,1,,0
12170,-122.34023,47.6529,1254,1,,0
12171,-122.34023,47.65284,1254,1,,0
12172,-122.34024,47.65277,1254,1,,0
12173,-122.34021,47.6541,1254,1,,0
12174,-122.34009,47.65437,1255,1,residential,0
12175,-122.34008,47.65444,1255,1,,0
12176,-122.34007,47.6545,1255,1,,0
12177,-122.34006,47.65456,1255,1,,0
12178,-122.34005,47.65462,1255,1,,0
12179,-122.34004,47.65469,1255,1,,0
12182,-122.34002,47.65479,1255,1,,0
12183,-122.34001,47.65486,1255,1,,0
12184,-122.34,47.65492,1255,1,,0
12185,-122.33999,47.65498,1255,1,,0
12186,-122.33998,47.65503,1255,1,,0
12187,-122.34003,47.65473,1255,1,,0
